rank,rank_change,title,revenue,revenue_change,profits,expenses,profit_change,assets,market_value,employees,ceo_title,sector,industry,years_on_fortune_500,city,state
248,-15,Bed Bath & Beyond,"12,216",0.90%,685.10,11530.9,-18.60%,"$6,846","$2,989","65,000",Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,15,Union,NJ
249,63,Oneok,"12,174",36.50%,387.80,11786.2,10.20%,"$16,846","$23,373","2,470","President, Chief Executive Officer &  Director",Energy,Pipelines,16,Tulsa,OK
250,-5,BB& T Corp.,"12,156",5.40%,"2,394.00",9762,-1.30%,"$221,642","$40,454","36,484",Chairman &  Chief Executive Officer,Financials,Commercial Banks,20,Winston-Salem,NC
251,-26,Becton Dickinson,"12,093",-3.10%,"1,100.00",10993,12.70%,"$37,734","$57,695","41,933",Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Franklin Lakes,NJ
252,-13,Ameriprise Financial,"12,075",2.90%,"1,480.00",10595,12.60%,"$147,470","$21,613","13,312",Chairman &  Chief Executive Officer,Financials,Diversified Financials,12,Minneapolis,MN
253,-31,Farmers Insurance Exchange,"12,072",-3.50%,-65.40,12137.4,-,"$16,165",-,"13,015","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Mutual),4,Los Angeles,CA
254,-12,First Data,"12,052",4.00%,"1,465.00",10587,248.80%,"$48,269","$14,865","22,000",Chairman &  Chief Executive Officer,Business Services,Financial Data Services,24,New York,NY
255,-21,Consolidated Edison,"12,033",-0.30%,"1,525.00",10508,22.50%,"$48,111","$24,192","15,591","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,New York,NY
256,-5,Parker-Hannifin,"12,029",5.90%,983.40,11045.6,21.90%,"$15,490","$22,755","56,690",Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Cleveland,OH
257,87,Anadarko Petroleum,"11,908",51.30%,-456.00,12364,-,"$42,086","$31,131","4,400","Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",18,The Woodlands,TX
258,-5,Estee Lauder,"11,824",5.00%,"1,249.00",10575,12.10%,"$11,568","$55,064","46,000","President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,23,New York,NY
259,12,State Street Corp.,"11,774",10.70%,"2,177.00",9597,1.60%,"$238,425","$36,688","36,643",Chairman &  Chief Executive Officer,Financials,Commercial Banks,23,Boston,MA
260,123,Tesla,"11,759",68.00%,"-1,961.40",13720.4,-,"$28,655","$44,955","37,543",Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,2,Palo Alto,CA
261,53,Netflix,"11,693",32.40%,558.90,11134.1,199.40%,"$19,013","$128,167","5,100","Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,4,Los Gatos,CA
262,38,Alcoa,"11,652",25.00%,217.00,11435,-,"$17,447","$8,372","14,600","President, Chief Executive Officer &  Director",Materials,Metals,2,Pittsburgh,PA
263,14,Discover Financial Services,"11,545",10.00%,"2,099.00",9446,-12.30%,"$100,087","$25,431","16,500",Chairman &  Chief Executive Officer,Financials,Commercial Banks,10,Riverwoods,IL
264,11,Praxair,"11,437",8.60%,"1,247.00",10190,-16.90%,"$20,436","$41,434","26,461",Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Danbury,CT
265,-8,CSX,"11,408",3.10%,"5,471.00",5937,219.20%,"$35,739","$49,428","24,006","President, Chief Executive Officer &  Director",Transportation,Railroads,24,Jacksonville,FL
266,-10,Xcel Energy,"11,404",2.70%,"1,148.00",10256,2.20%,"$43,030","$23,107","11,105","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,22,Minneapolis,MN
267,-9,Unum Group,"11,287",2.20%,994.20,10292.8,6.70%,"$64,013","$10,530","9,400","President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",23,Chattanooga,TN
268,8,Universal Health Services,"11,279",7.30%,752.30,10526.7,7.10%,"$10,762","$11,163","72,300",Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,15,King of Prussia,PA
269,-40,NRG Energy,"11,275",-8.70%,"-2,153.00",13428,-,"$23,318","$9,698","5,940","President, Chief Executive Officer &  Director",Energy,Energy,12,Princeton,NJ
270,86,EOG Resources,"11,208",46.50%,"2,582.60",8625.4,-,"$29,833","$60,913","2,664",Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",10,Houston,TX
271,9,Sempra Energy,"11,207",10.10%,256.00,10951,-81.30%,"$50,454","$29,351","16,046",Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,20,San Diego,CA
272,-28,Toys 'R'� Us,"11,146",-3.40%,-612.00,11758,-,"$7,262",-,"65,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Wayne,NJ
273,-12,Group 1 Automotive,"11,124",2.20%,213.40,10910.6,45.10%,"$4,871","$1,366","14,108","President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",18,Houston,TX
274,-11,Entergy,"11,075",2.10%,411.60,10663.4,-,"$46,707","$14,298","13,504",Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,New Orleans,LA
275,247,Molson Coors Brewing,"11,003",125.20%,"1,414.20",9588.8,-28.40%,"$30,247","$16,238","17,200","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,8,Denver,CO
276,-3,L3 Technologies,"11,002",3.80%,677.00,10325,-4.60%,"$12,729","$16,283","38,000","President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,16,New York,NY
277,29,Ball,"10,983",21.20%,374.00,10609,42.20%,"$17,169","$13,920","18,300","Chairman, President &  Chief Executive Officer",Materials,"Packaging, Containers",22,Broomfield,CO
278,-8,AutoZone,"10,889",2.40%,"1,280.90",9608.1,3.20%,"$9,260","$17,450","70,035","Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,20,Memphis,TN
279,12,Murphy USA,"10,853",12.70%,245.30,10607.7,10.70%,"$2,331","$2,440","6,900","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,5,El Dorado,AR
280,17,MGM Resorts International,"10,774",13.90%,"1,960.30",8813.7,78.00%,"$29,159","$19,844","68,500",Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",18,Las Vegas,NV
281,-78,Office Depot,"10,752",-20.90%,181.00,10571,-65.80%,"$6,323","$1,195","45,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Boca Raton,FL
282,7,Huntsman,"10,592",9.70%,636.00,9956,95.10%,"$10,244","$7,090","10,000","Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,13,The Woodlands,TX
283,-2,Baxter International,"10,561",3.90%,717.00,9844,-85.60%,"$17,111","$34,979","47,000","Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,24,Deerfield,IL
284,0,Norfolk Southern,"10,551",6.70%,"5,404.00",5147,224.00%,"$35,711","$41,226","27,110","Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Norfolk,VA
285,41,salesforce.com,"10,480",24.90%,127.50,10352.5,-29.00%,"$21,010","$85,074","29,000",Chairman &  Chief Executive Officer,Technology,Computer Software,4,SF,CA
286,4,Laboratory Corp. of America,"10,441",8.30%,"1,268.20",9172.8,73.20%,"$16,568","$16,482","60,000","Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,9,Burlington,NC
287,-5,W.W. Grainger,"10,425",2.80%,585.70,9839.3,-3.30%,"$5,804","$15,823","25,050",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,24,Lake Forest,IL
288,-19,Qurate Retail,"10,404",-2.30%,"2,441.00",7963,97.70%,"$24,122","$12,587","28,255",Chairman,Retailing,Internet Services and Retailing,14,Englewood,CO
289,-6,Autoliv,"10,383",3.10%,427.10,9955.9,-24.70%,"$8,550","$12,710","67,352","Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,20,Auburn Hills,MI
290,40,Live Nation Entertainment,"10,337",23.70%,-6.00,10343,-304.50%,"$7,504","$8,772","15,050","President, Chief Executive Officer &  Director",Media,Entertainment,9,Beverly Hills,CA
291,-129,Xerox,"10,265",-40.10%,195.00,10070,-,"$15,946","$7,330","36,100",Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Norwalk,CT
292,89,Leidos Holdings,"10,170",44.40%,366.00,9804,50.00%,"$8,990","$9,918","31,000",Chairman &  Chief Executive Officer,Technology,Information Technology Services,18,Reston,VA
293,5,Corning,"10,116",7.70%,-497.00,10613,-113.50%,"$27,494","$23,677","46,200","Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",23,Corning,NY
294,24,Lithia Motors,"10,087",16.20%,245.20,9841.8,24.40%,"$4,683","$2,515","12,899","President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",4,Medford,OR
295,22,Expedia Group,"10,060",14.70%,378.00,9682,34.10%,"$18,516","$16,764","22,615","President, Chief Executive Officer &  Director",Retailing,Internet Services and Retailing,4,Bellevue,WA
296,3,Republic Services,"10,042",7.00%,"1,278.40",8763.6,108.70%,"$21,147","$21,832","35,000","President, Chief Executive Officer &  Director",Business Services,Waste Management,9,Phoenix,AZ
297,-38,Jacobs Engineering Group,"10,023",-8.60%,293.70,9729.3,39.60%,"$7,381","$8,380","49,750","Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",18,Dallas,TX
298,-11,Sonic Automotive,"9,867",1.40%,93.00,9774,-0.20%,"$3,819",$804,"9,750","President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",19,Charlotte,NC
299,-13,Ally Financial,"9,866",0.30%,929.00,8937,-12.90%,"$167,148","$11,767","7,900",Chairman &  Chief Executive Officer,Financials,Diversified Financials,11,Detroit,MI
300,4,LKQ,"9,848",8.40%,533.70,9314.3,15.00%,"$9,367","$11,750","43,000","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,5,Chicago,IL
301,4,BorgWarner,"9,799",8.00%,439.90,9359.1,271.20%,"$9,788","$10,586","29,000","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,12,Auburn Hills,MI
302,-9,Fidelity National Financial,"9,769",2.30%,771.00,8998,18.60%,"$9,151","$10,983","24,525",Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),11,Jacksonville,FL
303,0,SunTrust Banks,"9,741",6.30%,"2,273.00",7468,21.00%,"$205,962","$31,863","23,785",Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,Atlanta,GA
304,86,IQVIA Holdings,"9,739",41.60%,"1,309.00",8430,1038.30%,"$22,742","$20,433",55000,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,5,Durham,NC
305,15,Reliance Steel & Aluminum,"9,721",12.90%,613.40,9107.6,101.60%,"$7,751","$6,244","14,900","President, Chief Executive Officer &  Director",Materials,Metals,12,Los Angeles,CA
306,81,Nvidia,"9,714",40.60%,"3,047.00",6667,82.90%,"$11,241","$140,112","11,528","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,2,Santa Clara,CA
307,-41,Voya Financial,"9,660",-10.40%,"-2,992.00",12652,-,"$222,532","$8,686","6,300",Chairman &  Chief Executive Officer,Financials,Diversified Financials,4,New York,NY
308,54,CenterPoint Energy,"9,614",27.70%,"1,792.00",7822,314.80%,"$22,736","$11,822","7,977","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Houston,TX
309,1,eBay,"9,567",6.50%,"-1,016.00",10583,-114.00%,"$25,981","$40,726","14,100","President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,13,San Jose,CA
310,-1,Eastman Chemical,"9,549",6.00%,"1,384.00",8165,62.10%,"$15,999","$15,073","14,000",Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Kingsport,TN
311,4,American Family Insurance Group,"9,545",8.10%,155.60,9389.4,-52.20%,"$24,233",-,"11,307",Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),22,Madison,WI
312,35,Steel Dynamics,"9,539",22.70%,812.70,8726.3,112.70%,"$6,856","$10,444","7,635","President, Chief Executive Officer &  Director",Materials,Metals,9,Fort Wayne,IN
313,-11,Pacific Life,"9,510",3.70%,"1,365.00",8145,65.70%,"$157,877",-,"3,578","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Newport Beach,CA
314,29,Chesapeake Energy,"9,496",20.60%,949.00,8547,-,"$12,425","$2,746","3,200","President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",13,Oklahoma City,OK
315,-4,Mohawk Industries,"9,491",5.90%,971.60,8519.4,4.40%,"$12,095","$17,283","38,800",Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",19,Calhoun,GA
316,39,Quanta Services,"9,467",23.70%,315.00,9152,58.80%,"$6,480","$5,281","32,800","President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",6,Houston,TX
317,-25,Advance Auto Parts,"9,374",-2.00%,475.50,8898.5,3.50%,"$8,482","$8,770","55,500","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,16,Roanoke,VA
318,-30,Owens & Minor,"9,318",-4.20%,72.80,9245.2,-33.10%,"$3,376",$961,"8,600","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Mechanicsville,VA
319,6,United Natural Foods,"9,275",9.50%,130.20,9144.8,3.50%,"$2,887","$2,165","9,700","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,6,Providence,RI
320,2,Tenneco,"9,274",7.80%,207.00,9067,-41.90%,"$4,842","$2,822","32,000",Chief Executive Officer &  Director,Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Lake Forest,IL
321,-124,Conagra Brands,"9,235",-34.70%,639.30,8595.7,-,"$10,096","$14,776","12,600","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Chicago,IL
322,-1,GameStop,"9,225",7.20%,34.70,9190.3,-90.20%,"$5,042","$1,279","39,500",Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,12,Grapevine,TX
323,-28,Hormel Foods,"9,168",-3.70%,846.70,8321.3,-4.90%,"$6,976","$18,174","20,200","Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,24,Austin,MN
324,-83,Hilton Worldwide Holdings,"9,140",-21.60%,"1,259.00",7881,261.80%,"$14,308","$24,957","163,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",15,McLean,VA
325,-12,Frontier Communications,"9,128",2.60%,"-1,804.00",10932,-,"$24,884",$582,"22,736","President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,5,Norwalk,CT
326,-25,Fidelity National Information Services,"9,123",-1.30%,"1,319.00",7804,132.20%,"$24,517","$31,893","53,000","President, Chief Executive Officer &  Director",Business Services,Financial Data Services,9,Jacksonville,FL
327,-21,Public Service Enterprise Group,"9,084",0.30%,"1,574.00",7510,77.50%,"$42,716","$25,359","12,945","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Newark,NJ
328,-1,Boston Scientific,"9,048",7.90%,104.00,8944,-70.00%,"$19,042","$37,688","29,000","Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,15,Marlboro,MA
329,-6,OReilly Automotive,"8,978",4.50%,"1,133.80",7844.2,9.30%,"$7,572","$20,607","60,365","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,9,Springfield,MO
330,27,Charles Schwab,"8,960",17.20%,"2,354.00",6606,24.60%,"$243,274","$70,313","17,600","President, Chief Executive Officer &  Director",Financials,Securities,20,SF,CA
331,3,Global Partners,"8,921",8.30%,58.80,8862.2,-,"$2,320",$522,"2,000","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,12,Waltham,MA
332,3,PVH,"8,915",8.70%,537.80,8377.2,-2.00%,"$11,886","$11,649","28,050",Chairman &  Chief Executive Officer,Apparel,Apparel,8,New York,NY
333,-14,Avis Budget Group,"8,848",2.20%,361.00,8487,121.50%,"$17,699","$3,792","26,300","President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",21,Parsippany-Troy Hills,NJ
334,68,Targa Resources,"8,815",31.70%,54.00,8761,-,"$14,389","$9,629","2,130",Chairman &  Chief Executive Officer,Energy,Pipelines,10,Houston,TX
335,-39,Hertz Global Holdings,"8,803",-7.10%,327.00,8476,-,"$20,058","$1,662","37,000","President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",11,Estero,FL
336,64,Calpine,"8,752",30.30%,-339.00,9091,-468.50%,"$16,453",-,"2,290","President, Chief Executive Officer &  Director",Energy,Energy,17,Houston,TX
337,5,Mutual of Omaha Insurance,"8,732",10.60%,862.60,7869.4,141.90%,"$42,429",-,"5,896","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Omaha,NE
338,-5,Crown Holdings,"8,698",5.00%,323.00,8375,-34.90%,"$10,663","$6,816","24,342","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",24,Philadelphia,PA
339,-15,Peter Kiewit Sons,"8,678",1.20%,371.00,8307,-6.30%,"$5,710",-,"22,000","President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",19,Omaha,NE
340,0,Dicks Sporting Goods,"8,591",8.40%,323.40,8267.6,12.50%,"$4,204","$3,765","30,300",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,9,Coraopolis,PA
341,12,PulteGroup,"8,573",11.80%,447.20,8125.8,-25.80%,"$9,687","$8,439","4,810","President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,16,Atlanta,GA
342,-5,Navistar International,"8,570",5.70%,30.00,8540,-,"$6,135","$3,451","11,400","Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,22,Lisle,IL
343,-27,Thrivent Financial for Lutherans,"8,528",-2.80%,558.40,7969.6,-5.00%,"$95,001",-,"3,622",Chief Executive Officer &  Director,Financials,"Insurance: Life, Health (Mutual)",24,Minneapolis,MN
344,-344,DCP Midstream,"8,462",465.30%,229.00,8233,-26.60%,"$13,878","$5,033","2,650","Chairman, President &  Chief Executive Officer",Energy,Pipelines,1,Denver,CO
345,-51,Air Products & Chemicals,"8,442",-11.40%,"3,000.40",5441.6,375.40%,"$18,467","$34,818","15,150","Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,24,Allentown,PA
346,-15,Veritiv,"8,365",0.50%,-13.30,8378.3,-163.30%,"$2,708",$617,"8,900",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,3,Atlanta,GA
347,23,AGCO,"8,307",12.10%,186.40,8120.6,16.40%,"$7,972","$5,157","20,462","Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,17,Duluth,GA
348,-19,Genworth Financial,"8,295",-0.90%,817.00,7478,-,"$105,297","$1,413","3,500","President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",13,Richmond,VA
349,-11,Univar,"8,254",2.20%,119.80,8134.2,-,"$5,733","$3,920","8,600","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,3,Downers Grove,IL
350,-18,News Corp.,"8,139",-2.20%,-738.00,8877,-512.30%,"$14,552","$9,272","26,000",Chairman &  Chief Executive Officer,Media,"Publishing, Printing",4,New York,NY
351,-1,SpartanNash,"8,128",5.10%,-52.80,8180.8,-193.00%,"$2,056",$620,"11,950","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,8,Byron Center,MI
352,155,Westlake Chemical,"8,041",58.40%,"1,304.00",6737,226.90%,"$12,076","$14,385","8,799","President, Chief Executive Officer &  Director",Chemicals,Chemicals,1,Houston,TX
353,14,Williams,"8,031",7.10%,"2,174.00",5857,-,"$46,352","$20,567","5,425","President, Chief Executive Officer &  Director",Energy,Energy,24,Tulsa,OK
354,86,Lam Research,"8,014",36.10%,"1,697.80",6316.2,85.70%,"$12,123","$33,105","9,400",Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,3,Fremont,CA
355,83,Alaska Air Group,"7,933",33.80%,"1,034.00",6899,27.00%,"$10,740","$7,646","23,156","Chairman, President &  Chief Executive Officer",Transportation,Airlines,5,Seattle,WA
356,35,Jones Lang LaSalle,"7,932",16.60%,254.20,7677.8,-20.10%,"$8,015","$7,930","81,900","President, Chief Executive Officer &  Director",Financials,Real estate,4,Chicago,IL
357,2,Anixter International,"7,927",4.00%,109.00,7818,-9.50%,"$4,252","$2,522","8,900",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,16,Glenview,IL
358,-19,Campbell Soup,"7,890",-0.90%,887.00,7003,57.50%,"$7,726","$13,021","18,000","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Camden,NJ
359,-14,Interpublic Group,"7,882",0.50%,579.00,7303,-4.80%,"$12,695","$8,854","50,200",Chairman &  Chief Executive Officer,Business Services,"Advertising, marketing",21,New York,NY
360,32,Dover,"7,830",15.20%,811.70,7018.3,59.50%,"$10,658","$15,183","29,000","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,24,Downers Grove,IL
361,-9,Zimmer Biomet Holdings,"7,824",1.80%,"1,813.80",6010.2,492.90%,"$25,965","$22,151","18,200","President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,3,Warsaw,IN
362,-11,Dean Foods,"7,795",1.10%,61.60,7733.4,-48.60%,"$2,504",$787,"16,000",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,20,Dallas,TX
363,-15,Foot Locker,"7,782",0.20%,284.00,7498,-57.20%,"$3,961","$5,379","32,175","Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,New York,NY
364,-6,Eversource Energy,"7,752",1.50%,988.00,6764,4.80%,"$36,220","$18,671","8,084","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,23,Springfield,MA
365,13,Alliance Data Systems,"7,719",8.10%,788.70,6930.3,52.90%,"$30,685","$11,806","20,000","President, Chief Executive Officer &  Director",Business Services,Financial Data Services,4,Plano,TX
366,23,Fifth Third Bancorp,"7,713",12.00%,"2,194.00",5519,40.30%,"$142,193","$21,812","18,125","Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,Cincinnati,OH
367,-1,Quest Diagnostics,"7,709",2.60%,772.00,6937,19.70%,"$10,503","$13,619","45,000","Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,18,Secaucus,NJ
368,-8,EMCOR Group,"7,688",1.80%,227.20,7460.8,24.90%,"$3,966","$4,549","32,000","President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",18,Norwalk,CT
369,-15,W.R. Berkley,"7,685",0.40%,549.10,7135.9,-8.80%,"$24,300","$8,836","7,722","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),15,Greenwich,CT
370,3,WESCO International,"7,679",4.70%,163.50,7515.5,60.90%,"$4,736","$2,920","9,100","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Diversified,20,Pittsburgh,PA
371,187,Coty,"7,650",75.90%,-422.20,8072.2,-369.10%,"$22,548","$13,723","22,000",Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,1,New York,NY
372,-4,WEC Energy Group,"7,649",2.40%,"1,203.70",6445.3,28.20%,"$31,591","$19,784","8,129",Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,9,Milwaukee,WI
373,-1,Masco,"7,644",3.90%,533.00,7111,8.60%,"$5,488","$12,590","26,000","President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",24,Livonia,MI
374,-374,DXC Technology,"7,607",7.10%,-123.00,7730,-149.00%,"$8,663","$28,720","60,000","Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,1,Tysons,VA
375,23,Auto-Owners Insurance,"7,604",12.20%,645.70,6958.3,-8.60%,"$23,694",-,"5,227",Chief Executive Officer &  Director,Financials,Insurance: Property and Casualty (Mutual),16,Lansing,MI
376,27,Jones Financial (Edward Jones),"7,597",14.60%,872.00,6725,16.90%,"$17,176",-,45000,Chief Executive Officer &  Managing Partner,Financials,Securities,6,Des Peres,MO
377,114,Liberty Media,"7,594",43.90%,"1,354.00",6240,99.10%,"$41,996","$13,816","4,393","President, Chief Executive Officer &  Director",Media,Entertainment,2,Englewood,CO
378,4,Erie Insurance Group,"7,535",7.40%,857.50,6677.5,15.60%,"$20,670",-,"5,260",Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),15,Erie,PA
379,-10,Hershey,"7,515",1.00%,783.00,6732,8.70%,"$5,554","$20,774","16,135","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,24,Hershey,PA
380,-15,PPL,"7,447",-0.90%,"1,128.00",6319,-40.70%,"$41,479","$19,635","12,512","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Allentown,PA
381,-1,Huntington Ingalls Industries,"7,441",5.30%,479.00,6962,-16.40%,"$6,374","$11,539","38,000","President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,6,Newport News,VA
382,-5,Mosaic,"7,409",3.40%,-107.20,7516.2,-136.00%,"$18,633","$9,358","8,500","President, Chief Executive Officer &  Director",Chemicals,Chemicals,13,Plymouth,MN
383,-37,J.M. Smucker,"7,392",-5.40%,592.30,6799.7,-14.00%,"$15,640","$14,087","7,140","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,8,Orrville,OH
384,96,Delek US Holdings,"7,350",35.70%,288.80,7061.2,-,"$5,935","$3,416","3,941","Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,4,Brentwood,TN
385,-57,Newmont Mining,"7,348",-12.30%,-98.00,7446,-,"$20,563","$20,853","12,569","President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",15,Greenwood Village,CO
386,22,Constellation Brands,"7,332",12.00%,"1,535.10",5796.9,45.50%,"$18,602","$44,379","8,700",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Beverages,6,Victor,NY
387,7,Ryder System,"7,330",8.00%,790.60,6539.4,201.20%,"$11,452","$3,867","36,100","Chairman, President &  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",24,Miami,FL
388,-13,National Oilwell Varco,"7,304",0.70%,-237.00,7541,-,"$20,206","$13,993","31,605","Chairman, President &  Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",13,Houston,TX
389,54,Adobe Systems,"7,302",24.70%,"1,694.00",5608,44.90%,"$14,536","$106,413","17,973","Chairman, President &  Chief Executive Officer",Technology,Computer Software,2,San Jose,CA
390,-16,LifePoint Health,"7,263",-0.10%,102.40,7160.6,-16.00%,"$6,286","$1,832","42,000",Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,4,Brentwood,TN
391,5,Tractor Supply,"7,256",7.00%,422.60,6833.4,-3.30%,"$2,869","$7,807","21,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,5,Brentwood,TN
392,148,Thor Industries,"7,247",58.20%,374.30,6872.7,45.90%,"$2,558","$6,069","17,800","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,1,Elkhart,IN
393,54,Dana,"7,209",23.70%,111.00,7098,-82.70%,"$5,644","$3,741","30,100","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Maumee,OH
